"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31","Create courses","LMS service","Tue Dec 09 17:45:31 UTC 2025","passed","Tue Dec 09 17:45:31 UTC 2025","Create entity","Courses","",""
"","23","Create exercise","LMS service","Tue Dec 09 17:45:32 UTC 2025","passed","Tue Dec 09 17:45:32 UTC 2025","Create entity","Exercises","",""
"","13","Get user me","LMS service","Tue Dec 09 17:45:39 UTC 2025","passed","Tue Dec 09 17:45:39 UTC 2025","Get entity","Users","",""
"","293","Get exercises","LMS service","Tue Dec 09 17:45:34 UTC 2025","passed","Tue Dec 09 17:45:34 UTC 2025","Get entities","Exercises","",""
"","14","Get file","LMS service","Tue Dec 09 17:45:35 UTC 2025","passed","Tue Dec 09 17:45:35 UTC 2025","Get entities","Files","",""
"","311","Test login","LMS service","Tue Dec 09 17:45:29 UTC 2025","passed","Tue Dec 09 17:45:29 UTC 2025","Login","Authentication","",""
"","294","Delete file","LMS service","Tue Dec 09 17:45:37 UTC 2025","passed","Tue Dec 09 17:45:37 UTC 2025","Delete entity","Files","",""
"","265","Get file with incorrect file id","LMS service","Tue Dec 09 17:45:37 UTC 2025","passed","Tue Dec 09 17:45:38 UTC 2025","Validate entity","Files","",""
"","561","Create user","LMS service","Tue Dec 09 17:45:38 UTC 2025","passed","Tue Dec 09 17:45:38 UTC 2025","Create entity","Users","",""
"","314","Get exercise","LMS service","Tue Dec 09 17:45:33 UTC 2025","passed","Tue Dec 09 17:45:33 UTC 2025","Create entity","Exercises","",""
"","17","Delete exercise","LMS service","Tue Dec 09 17:45:33 UTC 2025","passed","Tue Dec 09 17:45:33 UTC 2025","Delete entity","Exercises","",""
"","304","Update courses","LMS service","Tue Dec 09 17:45:30 UTC 2025","passed","Tue Dec 09 17:45:30 UTC 2025","Update entity","Courses","",""
"","561","Create user","LMS service","Tue Dec 09 17:45:38 UTC 2025","passed","Tue Dec 09 17:45:38 UTC 2025","Create entity","Users","",""
"","15","Create file with empty filname response","LMS service","Tue Dec 09 17:45:35 UTC 2025","passed","Tue Dec 09 17:45:35 UTC 2025","Validate entity","Files","",""
"","293","Update exercise","LMS service","Tue Dec 09 17:45:32 UTC 2025","passed","Tue Dec 09 17:45:32 UTC 2025","Update entity","Exercises","",""
"","298","Get courses","LMS service","Tue Dec 09 17:45:30 UTC 2025","passed","Tue Dec 09 17:45:30 UTC 2025","Get entities","Courses","",""
"","267","Create file with empty directory response","LMS service","Tue Dec 09 17:45:36 UTC 2025","passed","Tue Dec 09 17:45:37 UTC 2025","Validate entity","Files","",""
"","17","Create file","LMS service","Tue Dec 09 17:45:34 UTC 2025","passed","Tue Dec 09 17:45:34 UTC 2025","Create entity","Files","",""
"","550","Create user","LMS service","Tue Dec 09 17:45:37 UTC 2025","passed","Tue Dec 09 17:45:38 UTC 2025","Create entity","Users","",""
