"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291","Delete exercise","LMS service","Thu Dec 11 12:33:55 UTC 2025","passed","Thu Dec 11 12:33:55 UTC 2025","Delete entity","Exercises","",""
"","286","Test login","LMS service","Thu Dec 11 12:33:50 UTC 2025","passed","Thu Dec 11 12:33:51 UTC 2025","Login","Authentication","",""
"","13","Get file","LMS service","Thu Dec 11 12:33:57 UTC 2025","passed","Thu Dec 11 12:33:57 UTC 2025","Get entities","Files","",""
"","263","Create file with empty directory response","LMS service","Thu Dec 11 12:33:58 UTC 2025","passed","Thu Dec 11 12:33:58 UTC 2025","Validate entity","Files","",""
"","266","Create file","LMS service","Thu Dec 11 12:33:56 UTC 2025","passed","Thu Dec 11 12:33:56 UTC 2025","Create entity","Files","",""
"","21","Delete file","LMS service","Thu Dec 11 12:33:59 UTC 2025","passed","Thu Dec 11 12:33:59 UTC 2025","Delete entity","Files","",""
"","264","Get file with incorrect file id","LMS service","Thu Dec 11 12:33:59 UTC 2025","passed","Thu Dec 11 12:33:59 UTC 2025","Validate entity","Files","",""
"","293","Update exercise","LMS service","Thu Dec 11 12:33:54 UTC 2025","passed","Thu Dec 11 12:33:54 UTC 2025","Update entity","Exercises","",""
"","563","Create user","LMS service","Thu Dec 11 12:33:59 UTC 2025","passed","Thu Dec 11 12:34:00 UTC 2025","Create entity","Users","",""
"","255","Create file with empty filname response","LMS service","Thu Dec 11 12:33:57 UTC 2025","passed","Thu Dec 11 12:33:57 UTC 2025","Validate entity","Files","",""
"","22","Create exercise","LMS service","Thu Dec 11 12:33:53 UTC 2025","passed","Thu Dec 11 12:33:53 UTC 2025","Create entity","Exercises","",""
"","307","Update courses","LMS service","Thu Dec 11 12:33:51 UTC 2025","passed","Thu Dec 11 12:33:52 UTC 2025","Update entity","Courses","",""
"","528","Create user","LMS service","Thu Dec 11 12:33:59 UTC 2025","passed","Thu Dec 11 12:33:59 UTC 2025","Create entity","Users","",""
"","23","Get exercise","LMS service","Thu Dec 11 12:33:54 UTC 2025","passed","Thu Dec 11 12:33:54 UTC 2025","Create entity","Exercises","",""
"","12","Get user me","LMS service","Thu Dec 11 12:34:00 UTC 2025","passed","Thu Dec 11 12:34:00 UTC 2025","Get entity","Users","",""
"","32","Create courses","LMS service","Thu Dec 11 12:33:53 UTC 2025","passed","Thu Dec 11 12:33:53 UTC 2025","Create entity","Courses","",""
"","21","Get exercises","LMS service","Thu Dec 11 12:33:56 UTC 2025","passed","Thu Dec 11 12:33:56 UTC 2025","Get entities","Exercises","",""
"","26","Get courses","LMS service","Thu Dec 11 12:33:52 UTC 2025","passed","Thu Dec 11 12:33:52 UTC 2025","Get entities","Courses","",""
"","291","Create user","LMS service","Thu Dec 11 12:33:59 UTC 2025","passed","Thu Dec 11 12:33:59 UTC 2025","Create entity","Users","",""
