"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","293","Update exercise","LMS service","Tue Dec 09 17:49:38 UTC 2025","passed","Tue Dec 09 17:49:38 UTC 2025","Update entity","Exercises","",""
"","23","Delete file","LMS service","Tue Dec 09 17:49:43 UTC 2025","passed","Tue Dec 09 17:49:43 UTC 2025","Delete entity","Files","",""
"","291","Create user","LMS service","Tue Dec 09 17:49:43 UTC 2025","passed","Tue Dec 09 17:49:44 UTC 2025","Create entity","Users","",""
"","566","Create user","LMS service","Tue Dec 09 17:49:43 UTC 2025","passed","Tue Dec 09 17:49:44 UTC 2025","Create entity","Users","",""
"","304","Update courses","LMS service","Tue Dec 09 17:49:35 UTC 2025","passed","Tue Dec 09 17:49:36 UTC 2025","Update entity","Courses","",""
"","268","Get file with incorrect file id","LMS service","Tue Dec 09 17:49:43 UTC 2025","passed","Tue Dec 09 17:49:43 UTC 2025","Validate entity","Files","",""
"","24","Create exercise","LMS service","Tue Dec 09 17:49:37 UTC 2025","passed","Tue Dec 09 17:49:37 UTC 2025","Create entity","Exercises","",""
"","31","Create courses","LMS service","Tue Dec 09 17:49:37 UTC 2025","passed","Tue Dec 09 17:49:37 UTC 2025","Create entity","Courses","",""
"","538","Create user","LMS service","Tue Dec 09 17:49:43 UTC 2025","passed","Tue Dec 09 17:49:43 UTC 2025","Create entity","Users","",""
"","304","Get courses","LMS service","Tue Dec 09 17:49:36 UTC 2025","passed","Tue Dec 09 17:49:36 UTC 2025","Get entities","Courses","",""
"","16","Get exercises","LMS service","Tue Dec 09 17:49:40 UTC 2025","passed","Tue Dec 09 17:49:40 UTC 2025","Get entities","Exercises","",""
"","267","Create file with empty filname response","LMS service","Tue Dec 09 17:49:41 UTC 2025","passed","Tue Dec 09 17:49:41 UTC 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Tue Dec 09 17:49:41 UTC 2025","passed","Tue Dec 09 17:49:41 UTC 2025","Get entities","Files","",""
"","12","Get user me","LMS service","Tue Dec 09 17:49:44 UTC 2025","passed","Tue Dec 09 17:49:44 UTC 2025","Get entity","Users","",""
"","288","Delete exercise","LMS service","Tue Dec 09 17:49:39 UTC 2025","passed","Tue Dec 09 17:49:39 UTC 2025","Delete entity","Exercises","",""
"","267","Create file","LMS service","Tue Dec 09 17:49:40 UTC 2025","passed","Tue Dec 09 17:49:40 UTC 2025","Create entity","Files","",""
"","25","Get exercise","LMS service","Tue Dec 09 17:49:38 UTC 2025","passed","Tue Dec 09 17:49:38 UTC 2025","Create entity","Exercises","",""
"","288","Test login","LMS service","Tue Dec 09 17:49:35 UTC 2025","passed","Tue Dec 09 17:49:35 UTC 2025","Login","Authentication","",""
"","266","Create file with empty directory response","LMS service","Tue Dec 09 17:49:42 UTC 2025","passed","Tue Dec 09 17:49:42 UTC 2025","Validate entity","Files","",""
