"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","303","Update courses","LMS service","Thu Dec 11 06:23:09 UTC 2025","passed","Thu Dec 11 06:23:10 UTC 2025","Update entity","Courses","",""
"","23","Get exercise","LMS service","Thu Dec 11 06:23:12 UTC 2025","passed","Thu Dec 11 06:23:12 UTC 2025","Create entity","Exercises","",""
"","269","Create file with empty directory response","LMS service","Thu Dec 11 06:23:16 UTC 2025","passed","Thu Dec 11 06:23:16 UTC 2025","Validate entity","Files","",""
"","563","Create user","LMS service","Thu Dec 11 06:23:17 UTC 2025","passed","Thu Dec 11 06:23:18 UTC 2025","Create entity","Users","",""
"","18","Get exercises","LMS service","Thu Dec 11 06:23:14 UTC 2025","passed","Thu Dec 11 06:23:14 UTC 2025","Get entities","Exercises","",""
"","286","Test login","LMS service","Thu Dec 11 06:23:08 UTC 2025","passed","Thu Dec 11 06:23:09 UTC 2025","Login","Authentication","",""
"","26","Create exercise","LMS service","Thu Dec 11 06:23:11 UTC 2025","passed","Thu Dec 11 06:23:11 UTC 2025","Create entity","Exercises","",""
"","292","Update exercise","LMS service","Thu Dec 11 06:23:12 UTC 2025","passed","Thu Dec 11 06:23:12 UTC 2025","Update entity","Exercises","",""
"","265","Get file with incorrect file id","LMS service","Thu Dec 11 06:23:17 UTC 2025","passed","Thu Dec 11 06:23:17 UTC 2025","Validate entity","Files","",""
"","260","Create file with empty filname response","LMS service","Thu Dec 11 06:23:15 UTC 2025","passed","Thu Dec 11 06:23:15 UTC 2025","Validate entity","Files","",""
"","291","Delete exercise","LMS service","Thu Dec 11 06:23:13 UTC 2025","passed","Thu Dec 11 06:23:13 UTC 2025","Delete entity","Exercises","",""
"","28","Get courses","LMS service","Thu Dec 11 06:23:10 UTC 2025","passed","Thu Dec 11 06:23:10 UTC 2025","Get entities","Courses","",""
"","292","Create user","LMS service","Thu Dec 11 06:23:17 UTC 2025","passed","Thu Dec 11 06:23:17 UTC 2025","Create entity","Users","",""
"","533","Create user","LMS service","Thu Dec 11 06:23:17 UTC 2025","passed","Thu Dec 11 06:23:17 UTC 2025","Create entity","Users","",""
"","29","Create courses","LMS service","Thu Dec 11 06:23:10 UTC 2025","passed","Thu Dec 11 06:23:10 UTC 2025","Create entity","Courses","",""
"","16","Get file","LMS service","Thu Dec 11 06:23:15 UTC 2025","passed","Thu Dec 11 06:23:15 UTC 2025","Get entities","Files","",""
"","24","Delete file","LMS service","Thu Dec 11 06:23:16 UTC 2025","passed","Thu Dec 11 06:23:16 UTC 2025","Delete entity","Files","",""
"","13","Get user me","LMS service","Thu Dec 11 06:23:18 UTC 2025","passed","Thu Dec 11 06:23:18 UTC 2025","Get entity","Users","",""
"","260","Create file","LMS service","Thu Dec 11 06:23:14 UTC 2025","passed","Thu Dec 11 06:23:14 UTC 2025","Create entity","Files","",""
