"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","58","Get exercise","LMS service","Thu Dec 11 13:19:59 UTC 2025","passed","Thu Dec 11 13:19:59 UTC 2025","Create entity","Exercises","",""
"","562","Create user","LMS service","Thu Dec 11 13:20:04 UTC 2025","passed","Thu Dec 11 13:20:05 UTC 2025","Create entity","Users","",""
"","270","Get file with incorrect file id","LMS service","Thu Dec 11 13:20:04 UTC 2025","passed","Thu Dec 11 13:20:04 UTC 2025","Validate entity","Files","",""
"","32","Get courses","LMS service","Thu Dec 11 13:19:57 UTC 2025","passed","Thu Dec 11 13:19:57 UTC 2025","Get entities","Courses","",""
"","310","Update courses","LMS service","Thu Dec 11 13:19:56 UTC 2025","passed","Thu Dec 11 13:19:56 UTC 2025","Update entity","Courses","",""
"","257","Create file with empty filname response","LMS service","Thu Dec 11 13:20:02 UTC 2025","passed","Thu Dec 11 13:20:02 UTC 2025","Validate entity","Files","",""
"","271","Create file with empty directory response","LMS service","Thu Dec 11 13:20:03 UTC 2025","passed","Thu Dec 11 13:20:03 UTC 2025","Validate entity","Files","",""
"","28","Delete file","LMS service","Thu Dec 11 13:20:04 UTC 2025","passed","Thu Dec 11 13:20:04 UTC 2025","Delete entity","Files","",""
"","13","Get user me","LMS service","Thu Dec 11 13:20:05 UTC 2025","passed","Thu Dec 11 13:20:05 UTC 2025","Get entity","Users","",""
"","268","Create file","LMS service","Thu Dec 11 13:20:01 UTC 2025","passed","Thu Dec 11 13:20:01 UTC 2025","Create entity","Files","",""
"","32","Create courses","LMS service","Thu Dec 11 13:19:58 UTC 2025","passed","Thu Dec 11 13:19:58 UTC 2025","Create entity","Courses","",""
"","20","Get exercises","LMS service","Thu Dec 11 13:20:01 UTC 2025","passed","Thu Dec 11 13:20:01 UTC 2025","Get entities","Exercises","",""
"","526","Create user","LMS service","Thu Dec 11 13:20:04 UTC 2025","passed","Thu Dec 11 13:20:04 UTC 2025","Create entity","Users","",""
"","555","Test login","LMS service","Thu Dec 11 13:19:56 UTC 2025","passed","Thu Dec 11 13:19:56 UTC 2025","Login","Authentication","",""
"","24","Create exercise","LMS service","Thu Dec 11 13:19:58 UTC 2025","passed","Thu Dec 11 13:19:58 UTC 2025","Create entity","Exercises","",""
"","17","Get file","LMS service","Thu Dec 11 13:20:02 UTC 2025","passed","Thu Dec 11 13:20:02 UTC 2025","Get entities","Files","",""
"","290","Update exercise","LMS service","Thu Dec 11 13:19:59 UTC 2025","passed","Thu Dec 11 13:19:59 UTC 2025","Update entity","Exercises","",""
"","562","Create user","LMS service","Thu Dec 11 13:20:04 UTC 2025","passed","Thu Dec 11 13:20:05 UTC 2025","Create entity","Users","",""
"","290","Delete exercise","LMS service","Thu Dec 11 13:20:00 UTC 2025","passed","Thu Dec 11 13:20:00 UTC 2025","Delete entity","Exercises","",""
