"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Update exercise","LMS service","Thu Dec 11 13:18:32 UTC 2025","passed","Thu Dec 11 13:18:32 UTC 2025","Update entity","Exercises","",""
"","565","Create user","LMS service","Thu Dec 11 13:18:37 UTC 2025","passed","Thu Dec 11 13:18:38 UTC 2025","Create entity","Users","",""
"","290","Get file","LMS service","Thu Dec 11 13:18:35 UTC 2025","passed","Thu Dec 11 13:18:35 UTC 2025","Get entities","Files","",""
"","20","Delete exercise","LMS service","Thu Dec 11 13:18:33 UTC 2025","passed","Thu Dec 11 13:18:33 UTC 2025","Delete entity","Exercises","",""
"","258","Get file with incorrect file id","LMS service","Thu Dec 11 13:18:37 UTC 2025","passed","Thu Dec 11 13:18:37 UTC 2025","Validate entity","Files","",""
"","16","Get user me","LMS service","Thu Dec 11 13:18:38 UTC 2025","passed","Thu Dec 11 13:18:38 UTC 2025","Get entity","Users","",""
"","259","Create file with empty filname response","LMS service","Thu Dec 11 13:18:35 UTC 2025","passed","Thu Dec 11 13:18:35 UTC 2025","Validate entity","Files","",""
"","23","Delete file","LMS service","Thu Dec 11 13:18:37 UTC 2025","passed","Thu Dec 11 13:18:37 UTC 2025","Delete entity","Files","",""
"","532","Create user","LMS service","Thu Dec 11 13:18:37 UTC 2025","passed","Thu Dec 11 13:18:37 UTC 2025","Create entity","Users","",""
"","26","Create file","LMS service","Thu Dec 11 13:18:34 UTC 2025","passed","Thu Dec 11 13:18:34 UTC 2025","Create entity","Files","",""
"","32","Update courses","LMS service","Thu Dec 11 13:18:29 UTC 2025","passed","Thu Dec 11 13:18:29 UTC 2025","Update entity","Courses","",""
"","291","Create user","LMS service","Thu Dec 11 13:18:37 UTC 2025","passed","Thu Dec 11 13:18:38 UTC 2025","Create entity","Users","",""
"","21","Get exercises","LMS service","Thu Dec 11 13:18:34 UTC 2025","passed","Thu Dec 11 13:18:34 UTC 2025","Get entities","Exercises","",""
"","53","Get exercise","LMS service","Thu Dec 11 13:18:33 UTC 2025","passed","Thu Dec 11 13:18:33 UTC 2025","Create entity","Exercises","",""
"","30","Get courses","LMS service","Thu Dec 11 13:18:30 UTC 2025","passed","Thu Dec 11 13:18:30 UTC 2025","Get entities","Courses","",""
"","27","Create exercise","LMS service","Thu Dec 11 13:18:32 UTC 2025","passed","Thu Dec 11 13:18:32 UTC 2025","Create entity","Exercises","",""
"","267","Create file with empty directory response","LMS service","Thu Dec 11 13:18:36 UTC 2025","passed","Thu Dec 11 13:18:36 UTC 2025","Validate entity","Files","",""
"","547","Test login","LMS service","Thu Dec 11 13:18:29 UTC 2025","passed","Thu Dec 11 13:18:29 UTC 2025","Login","Authentication","",""
"","27","Create courses","LMS service","Thu Dec 11 13:18:30 UTC 2025","passed","Thu Dec 11 13:18:30 UTC 2025","Create entity","Courses","",""
